id,y_true,svm_pred,nb_pred,dt_pred,softmax_pred
0,0,1,0,1,1
1,0,0,0,0,0
2,0,0,0,1,0
3,0,0,1,0,0
4,1,1,1,1,1
5,0,0,0,0,0
6,0,0,0,0,0
7,0,1,0,1,0
8,1,1,1,1,1
9,1,1,1,1,1
10,0,0,0,0,0
11,1,1,0,1,1
12,0,0,0,0,0
13,1,1,1,1,1
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,1,1,1,1
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,1,1,1,1,1
22,0,0,0,0,0
23,1,1,1,1,0
24,0,0,0,0,0
25,0,0,0,0,0
26,1,1,0,1,1
27,0,0,0,0,0
28,1,1,1,1,1
29,1,1,1,1,1
30,1,1,0,1,1
31,0,0,0,0,0
32,1,1,1,1,1
33,1,1,1,1,1
34,0,0,0,0,0
35,1,0,0,0,0
36,1,1,1,1,1
37,1,1,1,1,1
38,1,1,0,1,1
39,1,1,1,1,1
40,1,1,1,1,1
41,0,0,0,0,0
42,0,0,0,0,0
43,1,1,1,0,1
44,1,0,0,0,0
45,1,1,1,1,1
46,0,0,0,0,0
47,0,0,0,1,0
48,1,1,1,1,1
49,1,1,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,1,1,1,1,1
53,1,1,1,1,1
54,1,1,1,1,1
55,1,1,0,0,0
56,0,1,0,1,1
57,1,1,1,1,1
58,0,0,0,0,0
59,1,1,1,1,1
60,0,0,0,0,0
61,0,0,0,0,0
62,1,1,1,1,1
63,0,0,0,0,0
64,1,0,0,1,0
65,0,0,1,1,1
66,0,1,1,1,1
67,1,1,0,1,1
68,0,0,0,0,0
69,1,1,0,0,0
70,1,1,0,1,1
71,0,0,0,1,0
72,0,0,0,1,0
73,0,1,0,1,1
74,0,1,1,1,1
75,1,0,0,1,0
76,1,1,1,1,1
77,1,0,0,0,0
78,1,1,1,1,1
79,0,1,0,1,1
80,1,1,1,1,1
81,1,1,0,1,1
82,0,1,0,1,1
83,0,0,0,0,0
84,1,1,1,1,1
85,1,1,1,1,1
86,1,1,1,1,1
87,0,0,0,1,1
88,1,1,0,0,1
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,1,1,0,1,1
94,0,1,1,1,1
95,1,1,1,1,1
96,1,1,1,1,1
97,0,1,1,1,1
98,1,1,1,1,1
99,1,1,1,0,1
100,1,1,1,1,1
101,1,1,1,1,1
102,0,0,0,0,0
103,1,1,1,1,1
104,1,1,1,0,0
105,0,1,0,1,1
106,1,1,0,1,1
107,0,0,0,0,0
108,0,0,0,1,0
109,1,1,1,1,1
110,0,0,0,0,0
111,1,1,1,1,1
112,0,0,0,0,0
113,1,0,0,1,0
114,1,1,1,1,1
115,0,0,0,0,0
116,0,0,0,0,0
117,1,1,0,1,1
118,0,0,0,0,0
119,0,1,1,1,1
120,0,1,1,1,1
121,1,1,1,1,1
122,1,1,1,1,1
123,0,0,0,1,0
124,0,0,1,1,1
125,0,0,0,0,0
126,0,0,0,0,0
127,0,1,1,1,1
128,0,0,0,0,0
129,0,1,1,1,1
130,0,0,0,0,0
